chr	start	end	miRNA
chr2	38177479	38177485	mir-1family
chr2	38358749	38358755	mir-1family
chr2	38358749	38358755	mir-1family
chr2	38408919	38408925	mir-1family
chr2	39811927	39811933	mir-1family
chr2	40341768	40341774	mir-1family
chr2	47713374	47713380	mir-1family
chr2	54747484	54747490	mir-1family
chr2	56402205	56402211	mir-1family
chr2	56402205	56402211	mir-1family
chr2	62095776	62095782	mir-1family
chr2	63275610	63275616	mir-1family
chr2	64479678	64479684	mir-1family
chr2	70190372	70190378	mir-1family
chr2	70190372	70190378	mir-1family
chr2	70315730	70315736	mir-1family
chr2	70276758	70276764	mir-1family
chr2	70278039	70278045	mir-1family
chr2	70278039	70278045	mir-1family
chr2	74185297	74185303	mir-1family
chr2	74185297	74185303	mir-1family
chr2	74612731	74612737	mir-1family
chr2	74612731	74612737	mir-1family
chr2	74612731	74612737	mir-1family
chr2	74612731	74612737	mir-1family
chr2	74612731	74612737	mir-1family
chr2	74620607	74620613	mir-1family
chr2	74729268	74729274	mir-1family
chr2	74730924	74730930	mir-1family
chr2	74730924	74730930	mir-1family
chr2	75414603	75414609	mir-1family
chr2	75415081	75415087	mir-1family
chr2	79727790	79727796	mir-1family
chr2	86051865	86051871	mir-1family
chr2	98287116	98287122	mir-1family
chr2	98287116	98287122	mir-1family
chr2	98287116	98287122	mir-1family
chr2	98287116	98287122	mir-1family
chr2	98287116	98287122	mir-1family
chr2	98287116	98287122	mir-1family
chr2	105488719	105488725	mir-1family
chr2	105488719	105488725	mir-1family
chr2	120004436	120004442	mir-1family
chr2	122408608	122408614	mir-1family
chr2	122408608	122408614	mir-1family
chr2	122408608	122408614	mir-1family
chr2	122408608	122408614	mir-1family
chr2	131501590	131501596	mir-1family
chr2	133418146	133418152	mir-1family
chr2	133688015	133688021	mir-1family
chr2	133688614	133688620	mir-1family
chr2	144229581	144229587	mir-1family
chr2	144532771	144532777	mir-1family
chr2	159517037	159517043	mir-1family
chr2	167056160	167056166	mir-1family
chr2	167997414	167997420	mir-1family
chr2	175439966	175439972	mir-1family
chr2	179436068	179436074	mir-1family
chr2	179436068	179436074	mir-1family
chr2	179436068	179436074	mir-1family
chr2	179588792	179588798	mir-1family
chr2	179590048	179590054	mir-1family
chr2	179590126	179590132	mir-1family
chr2	182755461	182755467	mir-1family
chr2	192900945	192900951	mir-1family
chr2	192900945	192900951	mir-1family
chr2	192900945	192900951	mir-1family
chr2	206621281	206621287	mir-1family
chr2	206621281	206621287	mir-1family
chr2	219809840	219809846	mir-1family
chr2	223782132	223782138	mir-1family
chr2	233451092	233451098	mir-1family
chr2	233451092	233451098	mir-1family
chr2	233451092	233451098	mir-1family
chr2	234261062	234261068	mir-1family
chr2	73685517	73685523	mir-1family
chr2	73685791	73685797	mir-1family
chr2	75897383	75897389	mir-1family
chr2	101463552	101463558	mir-1family
chr2	103055459	103055465	mir-1family
chr2	89165314	89165320	mir-1family
chr2	234296943	234296949	mir-1family
chr2	6108824	6108830	mir-1family
chr2	7569646	7569652	mir-1family
chr2	7054435	7054441	mir-1family
chr2	7057025	7057031	mir-1family
chr2	7054435	7054441	mir-1family
chr2	7057025	7057031	mir-1family
chr2	113997523	113997529	mir-1family
chr3	1051395	1051401	mir-1family
chr3	3668505	3668511	mir-1family
chr3	9540078	9540084	mir-1family
chr3	10805078	10805084	mir-1family
chr3	20392343	20392349	mir-1family
chr3	30566626	30566632	mir-1family
chr3	33837607	33837613	mir-1family
chr3	43129545	43129551	mir-1family
chr3	44158976	44158982	mir-1family
chr3	44158985	44158991	mir-1family
chr3	44159138	44159144	mir-1family
chr3	44163315	44163321	mir-1family
chr3	57680214	57680220	mir-1family
chr3	81304576	81304582	mir-1family
chr3	84688045	84688051	mir-1family
chr3	101715656	101715662	mir-1family
chr3	101715656	101715662	mir-1family
chr3	107045483	107045489	mir-1family
chr3	107045483	107045489	mir-1family
chr3	107008204	107008210	mir-1family
chr3	107008204	107008210	mir-1family
chr3	107586412	107586418	mir-1family
chr3	107586412	107586418	mir-1family
chr3	108895982	108895988	mir-1family
chr3	108903574	108903580	mir-1family
chr3	109529531	109529537	mir-1family
chr3	112459246	112459252	mir-1family
chr3	112777882	112777888	mir-1family
chr3	112863133	112863139	mir-1family
chr3	117397620	117397626	mir-1family
chr3	125581419	125581425	mir-1family
chr3	125607646	125607652	mir-1family
chr3	129809638	129809644	mir-1family
chr3	137494038	137494044	mir-1family
chr3	137494038	137494044	mir-1family
chr3	137513225	137513231	mir-1family
chr3	147724404	147724410	mir-1family
chr3	152557600	152557606	mir-1family
chr3	155011759	155011765	mir-1family
chr3	156806105	156806111	mir-1family
chr3	162905049	162905055	mir-1family
chr3	167621201	167621207	mir-1family
chr3	167621201	167621207	mir-1family
chr3	167621201	167621207	mir-1family
chr3	167621201	167621207	mir-1family
chr3	167621201	167621207	mir-1family
chr3	168639582	168639588	mir-1family
chr3	171186016	171186022	mir-1family
chr3	176353306	176353312	mir-1family
chr3	177056304	177056310	mir-1family
chr3	193809365	193809371	mir-1family
chr3	193975321	193975327	mir-1family
chr3	194003815	194003821	mir-1family
chr3	195384208	195384214	mir-1family
chr3	195451696	195451702	mir-1family
chr3	195451696	195451702	mir-1family
chr3	195451696	195451702	mir-1family
chr3	4939655	4939661	mir-1family
chr3	4939655	4939661	mir-1family
chr3	9235767	9235773	mir-1family
chr3	9235767	9235773	mir-1family
chr3	9436535	9436541	mir-1family
chr3	9436598	9436604	mir-1family
chr3	9431169	9431175	mir-1family
chr3	9431169	9431175	mir-1family
chr3	9431169	9431175	mir-1family
chr3	9436535	9436541	mir-1family
chr3	9436598	9436604	mir-1family
chr3	9436535	9436541	mir-1family
chr3	9436598	9436604	mir-1family
chr3	10001293	10001299	mir-1family
chr3	10002227	10002233	mir-1family
chr3	14963883	14963889	mir-1family
chr3	21621302	21621308	mir-1family
chr3	32772464	32772470	mir-1family
chr3	32778929	32778935	mir-1family
chr3	37285360	37285366	mir-1family
chr3	47285967	47285973	mir-1family
chr3	47286639	47286645	mir-1family
chr3	47421340	47421346	mir-1family
chr3	49460381	49460387	mir-1family
chr3	50154551	50154557	mir-1family
chr3	51908427	51908433	mir-1family
chr3	51908915	51908921	mir-1family
chr3	54909548	54909554	mir-1family
chr3	64085519	64085525	mir-1family
chr3	64085519	64085525	mir-1family
chr3	64573528	64573534	mir-1family
chr3	112901970	112901976	mir-1family
chr3	112901970	112901976	mir-1family
chr3	113308870	113308876	mir-1family
chr3	114078283	114078289	mir-1family
chr3	116650678	116650684	mir-1family
chr3	118666025	118666031	mir-1family
chr3	128586742	128586748	mir-1family
chr3	129620766	129620772	mir-1family
chr3	129624060	129624066	mir-1family
chr3	146644412	146644418	mir-1family
chr3	146874252	146874258	mir-1family
chr3	152879557	152879563	mir-1family
chr3	158461177	158461183	mir-1family
chr3	159906685	159906691	mir-1family
chr3	159716045	159716051	mir-1family
chr3	169512956	169512962	mir-1family
chr3	169664409	169664415	mir-1family
chr3	169684496	169684502	mir-1family
chr3	180418164	180418170	mir-1family
chr3	186573390	186573396	mir-1family
chr3	186573726	186573732	mir-1family
chr3	189862479	189862485	mir-1family
chr3	194310841	194310847	mir-1family
chr3	194310841	194310847	mir-1family
chr3	194310841	194310847	mir-1family
chr3	196050534	196050540	mir-1family
chr3	169331563	169331569	mir-1family
chr3	169341731	169341737	mir-1family
chr3	14534781	14534787	mir-1family
chr3	14534781	14534787	mir-1family
chr3	14534781	14534787	mir-1family
chr3	50258275	50258281	mir-1family
chr3	50258275	50258281	mir-1family
chr3	193728245	193728251	mir-1family
chr3	18633293	18633299	mir-1family
chr3	18666617	18666623	mir-1family
chr3	62248515	62248521	mir-1family
chr3	62248515	62248521	mir-1family
chr3	62304374	62304380	mir-1family
chr4	154756	154762	mir-1family
chr4	154756	154762	mir-1family
chr4	154756	154762	mir-1family
chr4	2430849	2430855	mir-1family
chr4	2446990	2446996	mir-1family
chr4	2446990	2446996	mir-1family
chr4	4335694	4335700	mir-1family
chr4	6672477	6672483	mir-1family
chr4	6672477	6672483	mir-1family
chr4	6677569	6677575	mir-1family
chr4	6677569	6677575	mir-1family
chr4	11803991	11803997	mir-1family
chr4	13780883	13780889	mir-1family
chr4	27209853	27209859	mir-1family
chr4	34122670	34122676	mir-1family
chr4	38422898	38422904	mir-1family
chr4	40267651	40267657	mir-1family
chr4	41884511	41884517	mir-1family
chr4	41884511	41884517	mir-1family
chr4	44023088	44023094	mir-1family
chr4	47844004	47844010	mir-1family
chr4	59390771	59390777	mir-1family
chr4	60416944	60416950	mir-1family
chr4	62291037	62291043	mir-1family
chr4	74399688	74399694	mir-1family
chr4	74580000	74580006	mir-1family
chr4	80617712	80617718	mir-1family
chr4	103340013	103340019	mir-1family
chr4	103340013	103340019	mir-1family
chr4	103340013	103340019	mir-1family
chr4	103340013	103340019	mir-1family
chr4	104359878	104359884	mir-1family
chr4	118237293	118237299	mir-1family
chr4	119990919	119990925	mir-1family
chr4	120885277	120885283	mir-1family
chr4	129392097	129392103	mir-1family
chr4	131297638	131297644	mir-1family
chr4	136042569	136042575	mir-1family
chr4	139716273	139716279	mir-1family
chr4	147032407	147032413	mir-1family
chr4	150135919	150135925	mir-1family
chr4	150736475	150736481	mir-1family
chr4	150736475	150736481	mir-1family
chr4	150736475	150736481	mir-1family
chr4	150736475	150736481	mir-1family
chr4	156207377	156207383	mir-1family
chr4	166613476	166613482	mir-1family
chr4	174907931	174907937	mir-1family
chr4	176267944	176267950	mir-1family
chr4	184018465	184018471	mir-1family
chr4	184018465	184018471	mir-1family
chr4	185776809	185776815	mir-1family
chr4	185776809	185776815	mir-1family
chr4	187813731	187813737	mir-1family
chr4	188437546	188437552	mir-1family
chr4	190785522	190785528	mir-1family
chr4	190785611	190785617	mir-1family
chr4	2949146	2949152	mir-1family
chr4	4639533	4639539	mir-1family
chr4	16229738	16229744	mir-1family
chr4	26861534	26861540	mir-1family
chr4	26861534	26861540	mir-1family
chr4	26861534	26861540	mir-1family
chr4	38614786	38614792	mir-1family
chr4	40428886	40428892	mir-1family
chr4	53822814	53822820	mir-1family
chr4	62947758	62947764	mir-1family
chr4	68597491	68597497	mir-1family
chr4	74168077	74168083	mir-1family
chr4	75892883	75892889	mir-1family
chr4	80180060	80180066	mir-1family
chr4	82096683	82096689	mir-1family
chr4	82096683	82096689	mir-1family
chr4	90760420	90760426	mir-1family
chr4	100010415	100010421	mir-1family
chr4	100010415	100010421	mir-1family
chr4	100887324	100887330	mir-1family
chr4	108807935	108807941	mir-1family
chr4	108807935	108807941	mir-1family
chr4	108859792	108859798	mir-1family
chr4	111440288	111440294	mir-1family
chr4	141206134	141206140	mir-1family
chr4	153589674	153589680	mir-1family
chr4	159122761	159122767	mir-1family
chr4	159097810	159097816	mir-1family
chr4	174480280	174480286	mir-1family
chr4	174480280	174480286	mir-1family
chr4	178264471	178264477	mir-1family
chr4	183695049	183695055	mir-1family
chr4	106484478	106484484	mir-1family
chr4	109094758	109094764	mir-1family
chr5	1363788	1363794	mir-1family
chr5	1363990	1363996	mir-1family
chr5	1363788	1363794	mir-1family
chr5	1363990	1363996	mir-1family
chr5	1548524	1548530	mir-1family
chr5	4033854	4033860	mir-1family
chr5	4640874	4640880	mir-1family
chr5	5069980	5069986	mir-1family
chr5	6021617	6021623	mir-1family
chr5	9546458	9546464	mir-1family
chr5	9546458	9546464	mir-1family
chr5	9765634	9765640	mir-1family
chr5	25284853	25284859	mir-1family
chr5	27494271	27494277	mir-1family
chr5	32947748	32947754	mir-1family
chr5	32947907	32947913	mir-1family
chr5	32958749	32958755	mir-1family
chr5	32958749	32958755	mir-1family
chr5	37948034	37948040	mir-1family
chr5	42189372	42189378	mir-1family
chr5	57047257	57047263	mir-1family
chr5	57191884	57191890	mir-1family
chr5	59786840	59786846	mir-1family
chr5	59819010	59819016	mir-1family
chr5	59819289	59819295	mir-1family
chr5	60162451	60162457	mir-1family
chr5	61181878	61181884	mir-1family
chr5	65803444	65803450	mir-1family
chr5	67095829	67095835	mir-1family
chr5	68322823	68322829	mir-1family
chr5	71663780	71663786	mir-1family
chr5	72249840	72249846	mir-1family
chr5	74213782	74213788	mir-1family
chr5	74659682	74659688	mir-1family
chr5	82236745	82236751	mir-1family
chr5	85676892	85676898	mir-1family
chr5	86044767	86044773	mir-1family
chr5	87011404	87011410	mir-1family
chr5	92006277	92006283	mir-1family
chr5	92179443	92179449	mir-1family
chr5	101944927	101944933	mir-1family
chr5	102876668	102876674	mir-1family
chr5	111966263	111966269	mir-1family
chr5	111966263	111966269	mir-1family
chr5	114367268	114367274	mir-1family
chr5	115027176	115027182	mir-1family
chr5	117881642	117881648	mir-1family
chr5	117911349	117911355	mir-1family
chr5	121657035	121657041	mir-1family
chr5	122035449	122035455	mir-1family
chr5	122035449	122035455	mir-1family
chr5	127302616	127302622	mir-1family
chr5	133562780	133562786	mir-1family
chr5	133827839	133827845	mir-1family
chr5	136090164	136090170	mir-1family
chr5	140706714	140706720	mir-1family
chr5	148805399	148805405	mir-1family
chr5	148805399	148805405	mir-1family
chr5	148792717	148792723	mir-1family
chr5	148792809	148792815	mir-1family
chr5	159913789	159913795	mir-1family
chr5	160360450	160360456	mir-1family
chr5	160360450	160360456	mir-1family
chr5	166543402	166543408	mir-1family
chr5	169625800	169625806	mir-1family
chr5	169625800	169625806	mir-1family
chr5	180754944	180754950	mir-1family
chr5	525014	525020	mir-1family
chr5	988194	988200	mir-1family
chr5	988194	988200	mir-1family
chr5	14664032	14664038	mir-1family
chr5	14664032	14664038	mir-1family
chr5	14664032	14664038	mir-1family
chr5	24613221	24613227	mir-1family
chr5	38345618	38345624	mir-1family
chr5	38461351	38461357	mir-1family
chr5	38558408	38558414	mir-1family
chr5	43287868	43287874	mir-1family
chr5	43288725	43288731	mir-1family
chr5	43290610	43290616	mir-1family
chr5	43571745	43571751	mir-1family
chr5	43572761	43572767	mir-1family
chr5	52284093	52284099	mir-1family
chr5	52284093	52284099	mir-1family
chr5	52385178	52385184	mir-1family
chr5	54578954	54578960	mir-1family
chr5	56224418	56224424	mir-1family
chr5	68426216	68426222	mir-1family
chr5	68430370	68430376	mir-1family
chr5	79348252	79348258	mir-1family
chr5	79363367	79363373	mir-1family
chr5	94125039	94125045	mir-1family
chr5	96121645	96121651	mir-1family
chr5	96121645	96121651	mir-1family
chr5	111074037	111074043	mir-1family
chr5	111075343	111075349	mir-1family
chr5	112772074	112772080	mir-1family
chr5	114003884	114003890	mir-1family
chr5	114003884	114003890	mir-1family
chr5	121647059	121647065	mir-1family
chr5	125803273	125803279	mir-1family
chr5	125803273	125803279	mir-1family
chr5	132057180	132057186	mir-1family
chr5	135470109	135470115	mir-1family
chr5	139750682	139750688	mir-1family
chr5	141961395	141961401	mir-1family
chr5	162465282	162465288	mir-1family
chr5	168093598	168093604	mir-1family
chr5	168450702	168450708	mir-1family
chr5	168450702	168450708	mir-1family
chr5	173007329	173007335	mir-1family
chr5	173007329	173007335	mir-1family
chr5	173483096	173483102	mir-1family
chr5	176865522	176865528	mir-1family
chr5	178396442	178396448	mir-1family
chr5	180629937	180629943	mir-1family
chr5	180629937	180629943	mir-1family
chr5	180629937	180629943	mir-1family
chr5	180629937	180629943	mir-1family
chr5	180632642	180632648	mir-1family
chr5	180674374	180674380	mir-1family
chr5	180674374	180674380	mir-1family
chr5	180674374	180674380	mir-1family
chr5	180674859	180674865	mir-1family
chr5	124070759	124070765	mir-1family
chr5	139582404	139582410	mir-1family
chr6	710755	710761	mir-1family
chr6	780194	780200	mir-1family
chr6	780194	780200	mir-1family
chr6	2917696	2917702	mir-1family
chr6	3894511	3894517	mir-1family
chr6	3894511	3894517	mir-1family
chr6	4188289	4188295	mir-1family
chr6	10452238	10452244	mir-1family
chr6	10452238	10452244	mir-1family
chr6	14283223	14283229	mir-1family
chr6	14599891	14599897	mir-1family
chr6	19803763	19803769	mir-1family
chr6	19803763	19803769	mir-1family
chr6	22196745	22196751	mir-1family
chr6	28616383	28616389	mir-1family
chr6	34252154	34252160	mir-1family
chr6	34252154	34252160	mir-1family
chr6	35513177	35513183	mir-1family
chr6	38682030	38682036	mir-1family
chr6	53429667	53429673	mir-1family
chr6	53429667	53429673	mir-1family
chr6	53429667	53429673	mir-1family
chr6	53429667	53429673	mir-1family
chr6	53429667	53429673	mir-1family
chr6	53429667	53429673	mir-1family
chr6	68597793	68597799	mir-1family
chr6	79315692	79315698	mir-1family
chr6	79521355	79521361	mir-1family
chr6	79522966	79522972	mir-1family
chr6	89008670	89008676	mir-1family
chr6	91056442	91056448	mir-1family
chr6	93812828	93812834	mir-1family
chr6	107235274	107235280	mir-1family
chr6	107235274	107235280	mir-1family
chr6	107235274	107235280	mir-1family
chr6	107235274	107235280	mir-1family
chr6	107235274	107235280	mir-1family
chr6	107235274	107235280	mir-1family
chr6	126041207	126041213	mir-1family
chr6	135027214	135027220	mir-1family
chr6	142958904	142958910	mir-1family
chr6	147270404	147270410	mir-1family
chr6	161339624	161339630	mir-1family
chr6	166324330	166324336	mir-1family
chr6	168083795	168083801	mir-1family
chr6	169687296	169687302	mir-1family
